['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(160, 120), (-300, -300), (685, 163), False, False, False, True, True, False]', '(160, -40.000004)', '(-300, -300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(120, 80), (-300, -300), (685, 163), False, False, False, True, True, False]', '(120, -80.000008)', '(-300, -300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(80, 40), (-300, -300), (685, 163), False, False, False, True, True, False]', '(80, -120.000008)', '(-300, -300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(120, 40), (300, 0), (685, 163), False, False, True, False, False, False]', '(120, -120.000008)', '(300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(160, 40), (300, 0), (685, 163), False, False, True, False, False, False]', '(160, -120.000008)', '(300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(200, 80), (300, 300), (685, 163), False, False, True, False, False, True]', '(200, -80.000008)', '(300, 300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(200, 120), (0, 300), (685, 163), False, False, True, True, False, True]', '(200, -40.000008)', '(0, 300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(200, 160), (0, 300), (685, 163), False, False, True, True, False, True]', '(200, -0.000007)', '(0, 300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(200, 200), (0, 300), (685, 163), False, False, True, True, False, True]', '(200, 39.999996)', '(0, 300)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(240, 200), (300, 0), (736, 125), False, False, True, False, False, False]', '(240, 39.999996)', '(300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(280, 200), (300, 0), (973, 35), False, False, True, False, False, False]', '(280, 39.999996)', '(300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(280, 200), (0, 0), (973, 35), False, False, False, False, False, False]', '(280, 39.999996)', '(0, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(280, 200), (0, 0), (973, 35), False, False, False, False, False, False]', '(280, 39.999996)', '(0, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(320, 320), (0, 0), (898, 64), False, False, False, False, False, False]', '(320, 160)', '(0, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(320, 320), (0, 0), (898, 64), False, False, False, False, False, False]', '(320, 160)', '(0, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(360, 320), (300, 0), (525, 166), False, False, True, False, False, False]', '(360, 160)', '(300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(400, 320), (300, 0), (490, 172), False, False, True, False, False, False]', '(400, 160)', '(300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(440, 320), (300, 0), (440, 300), False, False, True, False, False, False]', '(440, 160)', '(300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(480, 320), (300, 0), (395, 163), False, False, True, False, False, False]', '(480, 160)', '(300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(520, 320), (300, 0), (396, 163), False, False, True, False, False, False]', '(520, 160)', '(300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(520, 320), (0, 0), (132, 338), False, False, False, False, False, False]', '(520, 160)', '(0, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(480, 320), (-300, 0), (493, 147), True, False, False, True, False, False]', '(480, 160)', '(-300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(440, 320), (-300, 0), (509, 155), True, False, False, True, False, False]', '(440, 160)', '(-300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(400, 320), (-300, 0), (378, 161), True, False, False, True, False, False]', '(400, 160)', '(-300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(360, 320), (-300, 0), (322, 158), True, False, False, True, False, False]', '(360, 160)', '(-300, 0)', '0', '0']
['C:/Users/vaugh/Desktop/wonderwoman/Banzai/Client/Neural Network/nn12.py', '[(320, 320), (-300, 0), (281, 159), True, False, False, True, False, False]', '(320, 160)', '(-300, 0)', '0', '0']
